"nome","data_inicio","escritorio","area","tipo","palavras_chaves","origem","iniciais_originadores","valor_da_transacao","valor_fee_sucesso","valor_fee_mensal","expectativa_fechamento","status_atual","data_conclusao_conforme_status","qtde_negocios_com_o_cliente","ult_interacao","interesse(target)"
negocio1,"03/09/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,BD,,,,"31/10/2018",Concluído sem sucesso,,1,"10/01/2019","5"
negocio6,"10/10/2018",Araujo Fontes BH,Imobiliário,Projeto,,,EF,25000000.00,500000.00,,"30/11/2020",Ativo,,3,"25/08/2020","2"
negocio7,"17/09/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,"LK,MB",70000000.00,,,"16/11/2018",Concluído sem sucesso,"01/07/2019",2,"06/06/2019",
negocio11,"11/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,,75000000.00,,,"30/11/2018",Concluído sem sucesso,,1,"13/12/2018",
negocio12,"03/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,,,,,"22/11/2018",Inativo,,1,"13/12/2018","5"
negocio13,"01/10/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,,5000000.00,,,"31/10/2018",Concluído sem sucesso,,1,"13/12/2018",
negocio15,"22/10/2018",Araujo Fontes BH,Assessoria Estratégica,Lead,,,,250000000.00,5000000.00,,"31/12/2018",Concluído sem sucesso,,1,"13/12/2018","4"
negocio18,"18/07/2018",Araujo Fontes BH,Imobiliário,Lead,,,,40000000.00,,,"31/12/2020",Inativo,,1,"25/06/2019",
negocio19,"10/04/2018",Araujo Fontes BH,Imobiliário,Lead,,,,2400000000.00,,,"31/12/2020",Ativo,,1,"13/12/2018",
negocio21,"23/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,,20000000.00,,,"31/12/2018",Ativo,,1,"26/12/2018","4"
negocio24,"13/12/2018",,Câmbio,Lead,,,,,,,,Ativo,,1,"28/10/2019",
